num of runs,input 1,input 2,Objective
3,0.18,-1.68,"[-1.6476, 13.362399999999997]"
3,-0.03,-2.26,"[-2.2590999999999997, 18.177599999999998]"
3,-0.02,1.52,"[1.5204, 0.2504]"
3,0.25,-1.78,"[-1.7175, 14.038400000000001]"
3,4.22,1.98,"[19.7884, -4.2196]"
3,1.73,1.8,"[4.7929, -1.69]"
3,0.08,-1.8,"[-1.7936, 14.36]"
3,0.02,-0.73,"[-0.7296, 7.4329]"
3,-0.18,0.13,"[0.1624, 3.6769000000000007]"
3,-0.32,1.15,"[1.2524, 1.0425000000000002]"
3,-0.02,-1.68,"[-1.6796, 13.562399999999997]"
3,0.21,-0.71,"[-0.6658999999999999, 7.1341]"
3,0.05,0.92,"[0.9225, 1.1164]"
3,0.51,1.38,"[1.6401, -0.12559999999999988]"
3,0.14,0.04,"[0.0596, 3.7015999999999996]"
3,-0.14,-1.77,"[-1.7504, 14.3529]"
3,0.78,1.03,"[1.6384, 0.16089999999999993]"
3,0.1,0.88,"[0.89, 1.1544]"
3,4.22,1.98,"[19.7884, -4.2196]"
3,-0.09,1.6,"[1.6081, 0.24999999999999992]"
3,0.02,-2.65,"[-2.6496, 21.602500000000003]"
3,-0.05,-0.84,"[-0.8375, 8.1156]"
3,4.48,2.12,"[22.190400000000004, -4.4656]"
3,-0.06,-0.49,"[-0.4864, 6.2601]"
3,-0.04,-1.02,"[-1.0184, 9.1604]"
3,-0.04,0.5,"[0.5016, 2.29]"
3,-0.04,-2.93,"[-2.9284000000000003, 24.344899999999996]"
3,0.29,-3.19,"[-3.1059, 26.646099999999997]"
3,3.57,1.89,"[14.6349, -3.5578999999999996]"
3,3.87,1.8,"[16.7769, -3.83]"
3,5.81,2.04,"[35.796099999999996, -5.8084]"
3,-0.06,-1.28,"[-1.2764, 10.818400000000002]"
3,4.08,2.08,"[18.726399999999998, -4.0736]"
3,1.74,1.87,"[4.897600000000001, -1.7231]"
3,3.0,1.82,"[10.82, -2.9676]"
3,0.15,-3.8,"[-3.7775, 33.49]"
3,0.07,-1.46,"[-1.4551, 11.9016]"
3,0.01,0.94,"[0.9400999999999999, 1.1136000000000001]"
3,0.1,-1.24,"[-1.23, 10.397600000000002]"
3,7.33,2.08,"[55.8089, -7.3236]"
3,0.08,-3.07,"[-3.0635999999999997, 25.624900000000004]"
3,3.68,1.96,"[15.502400000000002, -3.6784000000000003]"
4,-0.03,-8.35,"[-8.3491, 107.15249999999999]"
4,8.98,2.04,"[82.68040000000002, -8.9784]"
4,8.98,2.04,"[82.68040000000002, -8.9784]"
4,-0.43,-7.78,"[-7.5951, 96.07840000000003]"
4,0.26,-5.66,"[-5.5924000000000005, 58.415600000000005]"
4,7.33,2.08,"[55.8089, -7.3236]"
4,8.57,1.06,"[74.5049, -7.686400000000001]"
4,6.61,1.78,"[45.472100000000005, -6.5616]"
4,0.03,-4.68,"[-4.6791, 44.5924]"
4,5.94,2.01,"[37.293600000000005, -5.939900000000001]"
4,5.38,1.97,"[30.914399999999997, -5.3791]"
4,0.46,-8.2,"[-7.9883999999999995, 103.58]"
4,8.78,1.55,"[78.63839999999999, -8.577499999999999]"
4,5.81,2.04,"[35.796099999999996, -5.8084]"
4,4.98,1.68,"[26.480400000000003, -4.8776]"
4,0.24,-3.29,"[-3.2324, 27.744100000000003]"
4,2.23,2.14,"[7.1129, -2.2104]"
4,2.92,1.8,"[10.3264, -2.88]"
4,4.48,2.12,"[22.190400000000004, -4.4656]"
